epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,561.227,0.59156,0.32809,0.79762,0.97221,0.98322,0.97995,0.85334,0.57906,0.34595,0.81815,0.00068,0.00068,0.00068
102,566.363,0.59561,0.33138,0.79524,0.9724,0.98322,0.9795,0.86159,0.52192,0.33544,0.81257,0.0006668,0.0006668,0.0006668
103,571.451,0.60967,0.34042,0.79665,0.97231,0.98322,0.98078,0.87438,0.49546,0.33053,0.81068,0.0006536,0.0006536,0.0006536
104,576.655,0.61088,0.33551,0.80235,0.97261,0.98322,0.98121,0.8633,0.53022,0.33873,0.81486,0.0006404,0.0006404,0.0006404
105,581.857,0.61622,0.3378,0.8023,0.97027,0.98581,0.98007,0.86672,0.51911,0.3317,0.81291,0.0006272,0.0006272,0.0006272
106,587.131,0.59278,0.33117,0.78882,0.97274,0.98322,0.98044,0.85804,0.52938,0.32939,0.81277,0.000614,0.000614,0.000614
107,592.296,0.59513,0.3341,0.79162,0.96934,0.98322,0.97674,0.85684,0.54852,0.33475,0.8125,0.0006008,0.0006008,0.0006008
108,597.482,0.58114,0.32854,0.79176,0.96938,0.98322,0.97766,0.84374,0.60068,0.34378,0.81661,0.0005876,0.0005876,0.0005876
109,602.725,0.57879,0.3228,0.79719,0.96923,0.98322,0.9792,0.85793,0.54895,0.32692,0.81353,0.0005744,0.0005744,0.0005744
110,607.952,0.5952,0.32813,0.80172,0.969,0.98322,0.98187,0.85521,0.57498,0.33692,0.8142,0.0005612,0.0005612,0.0005612
111,613.141,0.58257,0.32484,0.80142,0.96957,0.98322,0.98296,0.86154,0.54933,0.32964,0.81546,0.000548,0.000548,0.000548
112,618.35,0.58791,0.32532,0.79827,0.96958,0.98322,0.98296,0.87247,0.54165,0.33261,0.81191,0.0005348,0.0005348,0.0005348
113,623.601,0.59512,0.3287,0.79482,0.96938,0.98322,0.98156,0.87294,0.52756,0.32476,0.81254,0.0005216,0.0005216,0.0005216
114,628.823,0.56183,0.31953,0.78998,0.97209,0.98322,0.98146,0.86792,0.55031,0.33425,0.81247,0.0005084,0.0005084,0.0005084
115,633.99,0.60245,0.33657,0.7976,0.9725,0.98322,0.98021,0.8728,0.52124,0.3248,0.81102,0.0004952,0.0004952,0.0004952
116,639.292,0.60203,0.33061,0.79118,0.97282,0.98322,0.98046,0.86049,0.55031,0.32634,0.81004,0.000482,0.000482,0.000482
117,644.62,0.58836,0.32364,0.79329,0.97266,0.98322,0.98102,0.87636,0.50353,0.31673,0.80815,0.0004688,0.0004688,0.0004688
118,649.781,0.59329,0.33003,0.79436,0.96903,0.98322,0.98218,0.85689,0.55036,0.33171,0.81197,0.0004556,0.0004556,0.0004556
